Date,Ticker,Open,High,Low,Close_Price,Volume,RSI,MACD,Signal_Line,MACD_Hist,SMA_50,SMA_200,Vol_Pattern
30-09-2025,RELIANCE.NS,1377.1,1377.1,1362.8,1364.0,14604684,39.04,-5.03,-2.68,-2.3422,1389.06,1337.39,Drying Up
01-10-2025,RELIANCE.NS,1367.0,1378.6,1362.7,1368.7,12045916,41.58,-5.74,-3.3,-2.4443,1387.98,1337.87,Drying Up
03-10-2025,RELIANCE.NS,1363.2,1371.6,1356.9,1363.4,12842347,39.57,-6.66,-3.97,-2.6884,1387.1,1338.4,Drying Up
06-10-2025,RELIANCE.NS,1360.0,1377.4,1359.0,1375.0,12396580,45.74,-6.37,-4.45,-1.924,1386.22,1338.93,Drying Up
07-10-2025,RELIANCE.NS,1376.0,1395.9,1375.9,1384.8,11244040,50.34,-5.3,-4.62,-0.678,1385.97,1339.54,Expanding
08-10-2025,RELIANCE.NS,1384.8,1389.0,1364.5,1367.4,8525081,43.31,-5.78,-4.85,-0.9299,1385.6,1340.18,Expanding
09-10-2025,RELIANCE.NS,1374.0,1380.0,1369.1,1377.8,8826633,47.99,-5.26,-4.93,-0.3311,1385.51,1340.82,Expanding
10-10-2025,RELIANCE.NS,1377.8,1388.0,1375.1,1381.7,6373084,49.66,-4.49,-4.84,0.3555,1384.92,1341.61,Expanding
13-10-2025,RELIANCE.NS,1376.9,1377.7,1367.8,1375.0,7600682,46.87,-4.36,-4.75,0.3837,1384.33,1342.48,Expanding
14-10-2025,RELIANCE.NS,1380.0,1388.0,1370.1,1375.9,9768174,47.3,-4.15,-4.63,0.482,1384.15,1343.27,Expanding
15-10-2025,RELIANCE.NS,1383.0,1384.0,1372.7,1374.3,10882743,46.58,-4.05,-4.51,0.4585,1383.87,1344.05,Expanding
16-10-2025,RELIANCE.NS,1375.1,1400.5,1375.0,1398.3,12315932,57.12,-2.02,-4.01,1.9925,1383.72,1344.99,Expanding
17-10-2025,RELIANCE.NS,1401.0,1423.3,1399.1,1416.8,19335561,63.16,1.07,-3.0,4.0667,1384.34,1345.99,Expanding
20-10-2025,RELIANCE.NS,1440.0,1473.8,1433.3,1466.8,24721978,73.87,7.47,-0.91,8.3718,1385.93,1347.29,Expanding
21-10-2025,RELIANCE.NS,1468.0,1474.0,1460.0,1465.2,2066169,73.14,12.27,1.73,10.5375,1387.55,1348.57,Expanding
23-10-2025,RELIANCE.NS,1475.0,1482.9,1444.6,1448.4,18707090,65.76,14.55,4.29,10.2546,1389.27,1349.73,Expanding
24-10-2025,RELIANCE.NS,1450.0,1459.8,1441.0,1451.6,9700837,66.45,16.42,6.72,9.7048,1390.69,1350.8,Expanding
27-10-2025,RELIANCE.NS,1463.0,1485.0,1458.0,1484.1,14113867,72.54,20.3,9.43,10.8643,1392.88,1351.99,Expanding
28-10-2025,RELIANCE.NS,1484.1,1492.0,1477.6,1486.9,17631577,73.0,23.33,12.21,11.1141,1395.07,1353.36,Expanding
29-10-2025,RELIANCE.NS,1490.0,1508.3,1488.1,1504.2,11884745,75.68,26.81,15.13,11.6808,1397.68,1354.7,Expanding
30-10-2025,RELIANCE.NS,1500.0,1503.1,1484.0,1488.5,9318663,68.99,27.99,17.7,10.2838,1399.82,1355.84,Expanding
31-10-2025,RELIANCE.NS,1490.4,1497.5,1482.3,1486.4,8758053,68.12,28.42,19.85,8.5736,1401.14,1357.02,Expanding
03-11-2025,RELIANCE.NS,1486.0,1495.0,1479.3,1484.7,8452085,67.38,28.3,21.54,6.7629,1402.58,1358.26,Expanding
